"","date","search","search_adj"
"751",2010-04-13,34,81.6741734840825
"752",2010-04-12,17,40.8370867420412
"753",2010-04-15,17,40.8370867420412
"754",2011-04-14,37,37.7797774094246
"755",2011-04-11,55,56.1591285815771
"756",2011-04-13,45,45.9483779303812
"757",2011-04-10,49,50.0326781908596
"758",2011-04-09,36,36.758702344305
"759",2011-04-15,38,38.8008524745442
"760",2011-04-12,27,27.5690267582287
"761",2012-04-12,65,69.5138888888889
"762",2012-04-10,40,42.7777777777778
"763",2012-04-11,36,38.5
"764",2012-04-09,45,48.125
"765",2012-04-08,0,0
"766",2012-04-14,0,0
"767",2012-04-13,48,51.3333333333333
"768",2013-04-09,27,38.2855731225296
"769",2013-04-11,36,51.0474308300395
"770",2013-04-10,23,32.6136363636364
"771",2013-04-12,57,80.8250988142292
"772",2013-04-15,22,31.195652173913
"773",2013-04-13,43,60.9733201581028
"774",2013-04-14,45,63.8092885375494
"775",2014-04-12,24,20.153701968135
"776",2014-04-09,49,41.1471415182755
"777",2014-04-15,47,39.4676663542643
"778",2014-04-14,59,49.5445173383318
"779",2014-04-13,23,19.3139643861293
"780",2014-04-11,45,37.788191190253
"781",2014-04-10,44,36.9484536082474
"782",2015-04-10,72,46.3012716966725
