sat,rank,satobs,mlhs,mcol,flhs,fcol,black,hisp,asian,female,rdsc,vocab,pict,lgsc,matsc,mosaic,nsib
0,62,0,0,0,0,0,0,0,0,1,59,57,64,59,47,58,4
980,82,1,0,1,0,1,0,0,0,0,59,48,63,59,58,60,1
1220,83,1,0,0,0,0,0,0,0,0,61,66,55,42,65,56,1
0,85,0,1,0,1,0,0,1,0,1,42,51,51,46,47,31,3
0,78,0,0,0,0,1,0,0,0,1,56,60,61,63,60,56,8
0,65,0,0,0,0,1,0,0,0,0,44,42,54,51,55,60,2
0,50,0,0,0,0,1,0,0,0,0,37,57,58,49,55,51,2
1070,82,1,0,1,0,1,0,0,0,0,66,69,61,59,62,52,6
0,91,0,0,0,0,0,0,0,0,1,59,60,65,57,55,83,1
0,70,0,1,0,0,0,0,0,0,1,59,63,56,57,53,72,2
0,38,0,0,0,0,0,0,0,0,1,49,31,50,54,51,54,3
520,13,1,1,0,0,0,0,0,0,0,44,39,64,43,50,63,2
0,63,0,0,1,0,1,0,0,0,0,59,43,45,50,53,45,4
1160,97,1,0,0,0,0,0,0,0,1,68,61,51,57,64,69,6
0,89,0,0,0,0,0,0,0,0,0,56,72,57,57,64,53,1
0,39,0,1,0,1,0,0,1,0,0,39,54,41,35,40,38,9
0,58,0,0,0,0,1,0,0,0,0,56,54,39,51,44,45,3
1020,94,1,0,1,0,1,0,0,0,1,59,46,51,65,62,55,2
0,36,0,0,1,0,1,0,0,0,0,54,44,43,48,42,43,1
0,42,0,0,1,0,1,0,0,0,1,57,52,49,60,46,58,2
0,47,0,1,0,1,0,1,0,0,1,38,36,52,52,39,23,7
0,14,0,0,0,1,0,0,0,0,0,44,48,45,57,42,47,2
1100,93,1,0,1,0,0,0,0,0,0,66,60,37,55,62,46,1
0,42,0,0,0,0,1,0,0,0,0,49,45,62,61,64,57,1
920,72,1,0,0,1,0,0,0,0,1,59,51,64,54,62,63,2
0,55,0,1,0,0,0,0,0,0,1,42,57,53,55,35,47,1
0,25,0,0,1,0,1,1,0,0,0,51,60,47,53,42,51,10
0,77,0,0,1,0,1,0,0,0,1,68,69,39,56,51,51,1
0,18,0,0,1,0,1,0,0,0,1,44,49,34,32,33,32,0
0,43,0,1,0,1,0,0,1,0,1,53,43,45,44,42,41,3
0,21,0,1,0,0,0,0,0,0,1,50,43,65,58,41,52,6
0,39,0,0,0,0,0,0,0,0,1,49,49,46,64,37,49,6
0,42,0,1,0,1,0,0,0,0,0,52,43,40,39,53,42,3
0,43,0,0,0,1,0,0,0,0,1,44,48,42,58,49,46,5
0,23,0,1,0,1,0,0,0,0,1,56,54,41,52,49,49,1
0,55,0,1,0,1,0,0,0,0,1,44,42,52,55,39,58,3
0,53,0,0,0,1,0,0,0,0,1,57,66,61,47,44,38,3
0,51,0,0,0,0,1,0,0,0,0,42,48,37,34,53,56,0
0,82,0,0,0,0,0,0,0,0,0,71,63,66,57,60,65,3
0,86,0,1,0,1,0,0,0,0,1,59,48,66,63,64,68,4
0,38,0,0,0,0,1,0,0,0,0,42,57,41,61,49,53,1
0,77,0,0,0,0,1,0,0,0,0,56,66,41,61,65,66,2
0,98,0,0,0,0,1,0,0,0,1,46,60,49,61,62,93,1
700,53,1,0,1,0,1,0,0,0,0,43,45,45,50,55,52,2
1110,89,1,0,1,0,1,0,0,0,1,61,63,65,54,64,53,2
0,63,0,0,0,0,0,0,0,0,0,32,54,44,49,51,39,3
0,66,0,0,0,1,0,0,0,0,1,52,44,40,57,52,50,1
0,68,0,1,0,1,0,0,0,0,1,59,54,45,45,39,45,6
710,79,1,1,0,1,0,1,0,0,1,42,51,39,51,37,40,10
970,56,1,0,0,0,0,0,0,0,0,64,57,47,59,53,50,2
1120,84,1,1,0,1,0,0,0,1,0,64,57,66,60,65,71,5
0,91,0,1,0,0,0,1,0,0,1,54,39,46,49,40,47,0
0,57,0,1,0,1,0,1,0,0,1,51,45,61,53,42,20,4
0,69,0,0,0,0,0,0,0,0,1,59,54,64,62,64,60,3
0,53,0,1,0,0,0,0,0,0,0,49,60,62,53,43,49,2
880,86,1,0,0,1,0,0,0,0,1,61,60,53,59,62,46,2
0,78,0,0,0,1,0,0,0,0,1,37,51,54,55,51,47,3
